SiteCode,LON,LAT
RUCok,147.4943,70.8291
RUChe,161.339,68.6147
AON,161.5311,68.5135
RUVrk,62.9405,67.0547
TUR,100.4636,64.2089
NEL,129.4997,62.3158
YLF,129.2414,62.255
YPF,129.6506,62.2414
RUZot,89.3508,60.8008
RUFyo,32.9239,56.4617
RUHa2,89.9567,54.7731
RUHa1,90.0022,54.7253
RUHa3,89.0779,54.7046
SKT,108.6543,48.3519
KBU,108.7373,47.214
LSH,127.5782,45.2798
TSE,142.1072,45.0558
MBF,142.3186,44.3869
MMF,142.2577,44.3337
SAP,141.3853,42.9868
TMK,141.5183,42.7347
CBS,128.8333,42.4025
API,140.9375,40.0017
SMK,126.9547,37.9389
GDK,127.15,37.75
GCK,127.1629,37.7485
HBG,101.33,37.66
QHB,101.332,37.6074
YCS,116.6,36.95
TKY,137.4231,36.1462
TKC,137.3708,36.1397
MSE,140.0227,36.0691
FJY,138.7623,35.4546
FHK,138.7647,35.4435
SMF,137.0788,35.2617
KEW,135.9944,34.9636
YMS,135.8462,34.7948
HFK,126.57,34.55
KHW,130.7095,33.137
ILYat,35.0515,31.345
KTM,79.37,29.38
QYZ,115.0748,26.7415
CLM,121.4111,24.5901
BNS,101.2,21.9504
MKL,98.8439,14.5896
SKR,101.9163,14.4924
IRI-NFL,121.2627,14.1442
IRI-FL,121.2653,14.141
SDDem,30.4783,13.2829
PSO,102.2998,2.9732
BKS,117.0447,-0.8614
PUF,113.9044,-2.3236
PDB,114.0379,-2.3408
PDF,114.0364,-2.3461
